RAW 208 person  Left=1396, Top=767, Right=1424, Bottom=812

RAW 209 person  Left=1397, Top=775, Right=1420, Bottom=823

RAW 210 person  Left=1396, Top=779, Right=1420, Bottom=822

RAW 211 person  Left=1395, Top=767, Right=1425, Bottom=812

RAW 212 person  Left=1397, Top=767, Right=1424, Bottom=811

RAW 213 person  Left=1396, Top=776, Right=1419, Bottom=823

RAW 214 person  Left=1397, Top=772, Right=1421, Bottom=824

RAW 215 person  Left=1398, Top=767, Right=1422, Bottom=810

RAW 216 person  Left=1398, Top=767, Right=1423, Bottom=811

RAW 217 person  Left=1398, Top=766, Right=1422, Bottom=812

RAW 218 person  Left=1397, Top=777, Right=1419, Bottom=822

RAW 222 person  Left=1396, Top=778, Right=1420, Bottom=823

RAW 223 person  Left=1398, Top=766, Right=1422, Bottom=813

RAW 225 person  Left=1397, Top=767, Right=1425, Bottom=813

RAW 226 person  Left=1396, Top=768, Right=1425, Bottom=811

RAW 227 person  Left=1396, Top=767, Right=1424, Bottom=812

RAW 231 person  Left=1398, Top=766, Right=1423, Bottom=812

RAW 237 person  Left=1398, Top=767, Right=1424, Bottom=812

RAW 246 person  Left=1397, Top=766, Right=1425, Bottom=813

RAW 251 person  Left=1398, Top=765, Right=1423, Bottom=814

RAW 254 person  Left=1395, Top=775, Right=1419, Bottom=823

RAW 255 person  Left=1397, Top=775, Right=1419, Bottom=823

RAW 257 person  Left=1397, Top=766, Right=1423, Bottom=812

RAW 260 person  Left=1397, Top=775, Right=1420, Bottom=824

RAW 261 person  Left=1397, Top=774, Right=1420, Bottom=824

RAW 262 person  Left=1398, Top=765, Right=1423, Bottom=813

RAW 263 person  Left=1394, Top=773, Right=1421, Bottom=824

RAW 264 person  Left=1396, Top=774, Right=1421, Bottom=825

RAW 265 person  Left=1395, Top=766, Right=1424, Bottom=812

RAW 266 person  Left=1399, Top=767, Right=1421, Bottom=810

RAW 267 person  Left=1395, Top=765, Right=1425, Bottom=814

RAW 268 person  Left=1397, Top=765, Right=1422, Bottom=812

RAW 269 person  Left=1397, Top=767, Right=1420, Bottom=810

RAW 272 person  Left=1395, Top=765, Right=1421, Bottom=812

RAW 273 person  Left=1396, Top=765, Right=1422, Bottom=811

RAW 274 person  Left=1393, Top=772, Right=1417, Bottom=825

RAW 275 person  Left=1395, Top=764, Right=1421, Bottom=813

RAW 276 person  Left=1395, Top=765, Right=1419, Bottom=813

RAW 276 person  Left=1596, Top=709, Right=1613, Bottom=747

RAW 277 person  Left=1393, Top=782, Right=1413, Bottom=821

RAW 278 person  Left=1395, Top=764, Right=1419, Bottom=812

RAW 279 person  Left=1394, Top=764, Right=1417, Bottom=810

RAW 280 person  Left=1395, Top=765, Right=1417, Bottom=810

RAW 281 person  Left=1393, Top=773, Right=1414, Bottom=824

RAW 282 person  Left=1394, Top=765, Right=1413, Bottom=810

RAW 283 person  Left=1394, Top=765, Right=1415, Bottom=811

RAW 284 person  Left=1392, Top=777, Right=1415, Bottom=824

RAW 285 person  Left=1392, Top=772, Right=1415, Bottom=825

RAW 286 person  Left=1392, Top=764, Right=1414, Bottom=812

