RAW 45426 person  Left=331, Top=188, Right=368, Bottom=277

RAW 1 car  Left=822, Top=250, Right=953, Bottom=314

RAW 1 car  Left=623, Top=245, Right=661, Bottom=275

RAW 1 car  Left=781, Top=255, Right=828, Bottom=290

RAW 1 car  Left=452, Top=252, Right=676, Bottom=401

RAW 2 car  Left=820, Top=251, Right=955, Bottom=314

RAW 2 car  Left=622, Top=246, Right=663, Bottom=276

RAW 2 car  Left=417, Top=250, Right=669, Bottom=470

RAW 2 car  Left=111, Top=257, Right=198, Bottom=286

RAW 2 car  Left=418, Top=246, Right=459, Bottom=277

RAW 2 car  Left=780, Top=255, Right=829, Bottom=291

RAW 3 car  Left=809, Top=252, Right=951, Bottom=311

RAW 3 car  Left=622, Top=245, Right=662, Bottom=276

RAW 3 car  Left=656, Top=243, Right=720, Bottom=275

RAW 3 car  Left=420, Top=255, Right=663, Bottom=487

RAW 3 car  Left=779, Top=255, Right=829, Bottom=292

RAW 4 car  Left=819, Top=250, Right=956, Bottom=312

RAW 4 car  Left=622, Top=245, Right=662, Bottom=275

RAW 4 car  Left=113, Top=257, Right=195, Bottom=285

RAW 4 car  Left=780, Top=256, Right=829, Bottom=291

RAW 4 car  Left=416, Top=246, Right=458, Bottom=275

RAW 5 car  Left=822, Top=251, Right=954, Bottom=312

RAW 5 car  Left=622, Top=246, Right=663, Bottom=277

RAW 5 car  Left=447, Top=253, Right=684, Bottom=408

RAW 5 car  Left=779, Top=255, Right=830, Bottom=291

RAW 6 car  Left=810, Top=251, Right=950, Bottom=311

RAW 6 car  Left=620, Top=246, Right=663, Bottom=277

RAW 6 car  Left=778, Top=254, Right=830, Bottom=292

RAW 6 car  Left=451, Top=257, Right=692, Bottom=383

RAW 7 car  Left=823, Top=249, Right=954, Bottom=313

RAW 7 car  Left=621, Top=245, Right=662, Bottom=276

RAW 7 car  Left=115, Top=257, Right=194, Bottom=285

RAW 7 car  Left=779, Top=255, Right=829, Bottom=290

RAW 8 car  Left=821, Top=249, Right=954, Bottom=314

RAW 8 car  Left=620, Top=246, Right=663, Bottom=276

RAW 8 car  Left=779, Top=254, Right=830, Bottom=291

RAW 9 car  Left=811, Top=250, Right=949, Bottom=313

RAW 9 car  Left=621, Top=245, Right=663, Bottom=276

RAW 9 car  Left=778, Top=254, Right=831, Bottom=292

RAW 10 car  Left=823, Top=248, Right=954, Bottom=315

RAW 10 car  Left=621, Top=244, Right=662, Bottom=276

RAW 10 car  Left=777, Top=255, Right=831, Bottom=292

RAW 11 car  Left=825, Top=250, Right=955, Bottom=312

RAW 11 car  Left=619, Top=244, Right=663, Bottom=277

RAW 11 car  Left=776, Top=254, Right=831, Bottom=291

RAW 11 car  Left=118, Top=257, Right=194, Bottom=286

RAW 12 car  Left=826, Top=249, Right=954, Bottom=316

RAW 12 car  Left=774, Top=255, Right=829, Bottom=291

RAW 12 car  Left=621, Top=245, Right=662, Bottom=275

RAW 12 car  Left=119, Top=258, Right=193, Bottom=285

RAW 13 car  Left=827, Top=250, Right=953, Bottom=314

RAW 13 car  Left=775, Top=255, Right=829, Bottom=291

RAW 13 car  Left=620, Top=246, Right=662, Bottom=273

RAW 13 car  Left=122, Top=259, Right=192, Bottom=286

RAW 14 car  Left=826, Top=249, Right=952, Bottom=312

RAW 14 car  Left=775, Top=255, Right=829, Bottom=290

RAW 14 car  Left=619, Top=246, Right=663, Bottom=274

RAW 14 car  Left=119, Top=258, Right=194, Bottom=287

RAW 15 car  Left=824, Top=249, Right=953, Bottom=310

RAW 15 car  Left=774, Top=254, Right=830, Bottom=293

RAW 15 car  Left=619, Top=246, Right=662, Bottom=273

RAW 16 car  Left=828, Top=249, Right=951, Bottom=313

RAW 16 car  Left=777, Top=256, Right=827, Bottom=288

RAW 16 car  Left=621, Top=245, Right=662, Bottom=273

RAW 17 car  Left=827, Top=249, Right=952, Bottom=310

