RAW 272 person  Left=190, Top=559, Right=307, Bottom=841

RAW 273 person  Left=177, Top=568, Right=293, Bottom=838

RAW 273 person  Left=1852, Top=580, Right=1905, Bottom=674

RAW 274 person  Left=157, Top=572, Right=276, Bottom=845

RAW 274 person  Left=1857, Top=579, Right=1912, Bottom=682

RAW 274 person  Left=934, Top=558, Right=953, Bottom=596

RAW 275 person  Left=149, Top=566, Right=264, Bottom=851

RAW 275 person  Left=1861, Top=565, Right=1914, Bottom=689

RAW 276 person  Left=136, Top=568, Right=249, Bottom=852

RAW 277 person  Left=117, Top=574, Right=228, Bottom=857

RAW 278 person  Left=102, Top=567, Right=213, Bottom=865

RAW 279 person  Left=89, Top=568, Right=192, Bottom=865

RAW 280 person  Left=66, Top=574, Right=171, Bottom=870

RAW 281 person  Left=35, Top=565, Right=153, Bottom=898

RAW 282 person  Left=21, Top=566, Right=143, Bottom=899

RAW 283 person  Left=9, Top=570, Right=110, Bottom=893

RAW 288 person  Left=943, Top=557, Right=961, Bottom=598

RAW 290 person  Left=945, Top=556, Right=962, Bottom=599

RAW 291 person  Left=946, Top=558, Right=962, Bottom=598

RAW 292 person  Left=944, Top=558, Right=962, Bottom=599

RAW 293 person  Left=944, Top=557, Right=962, Bottom=598

RAW 294 person  Left=887, Top=541, Right=904, Bottom=605

RAW 294 person  Left=945, Top=556, Right=963, Bottom=598

RAW 295 person  Left=945, Top=557, Right=964, Bottom=600

RAW 296 person  Left=945, Top=562, Right=964, Bottom=601

RAW 297 person  Left=945, Top=561, Right=965, Bottom=601

RAW 298 person  Left=945, Top=562, Right=965, Bottom=601

RAW 299 person  Left=944, Top=559, Right=966, Bottom=600

RAW 299 person  Left=955, Top=556, Right=972, Bottom=598

RAW 300 person  Left=954, Top=554, Right=973, Bottom=600

RAW 301 person  Left=956, Top=558, Right=973, Bottom=600

RAW 301 person  Left=520, Top=554, Right=545, Bottom=616

RAW 302 person  Left=953, Top=555, Right=976, Bottom=601

RAW 303 person  Left=951, Top=554, Right=978, Bottom=602

RAW 304 person  Left=953, Top=554, Right=978, Bottom=602

RAW 304 person  Left=889, Top=543, Right=907, Bottom=610

RAW 305 person  Left=955, Top=556, Right=979, Bottom=601

RAW 306 person  Left=957, Top=554, Right=979, Bottom=601

RAW 307 person  Left=961, Top=555, Right=981, Bottom=601

RAW 308 person  Left=961, Top=555, Right=983, Bottom=600

RAW 308 person  Left=498, Top=556, Right=526, Bottom=619

RAW 309 person  Left=961, Top=557, Right=984, Bottom=601

RAW 309 person  Left=500, Top=569, Right=526, Bottom=619

RAW 310 person  Left=961, Top=559, Right=982, Bottom=599

RAW 311 person  Left=959, Top=559, Right=978, Bottom=598

RAW 312 person  Left=960, Top=555, Right=978, Bottom=599

RAW 313 person  Left=961, Top=556, Right=979, Bottom=598

RAW 313 person  Left=488, Top=555, Right=513, Bottom=619

RAW 314 person  Left=962, Top=558, Right=982, Bottom=599

RAW 314 person  Left=488, Top=552, Right=510, Bottom=617

RAW 315 person  Left=482, Top=549, Right=508, Bottom=617

RAW 315 person  Left=965, Top=560, Right=984, Bottom=597

RAW 316 person  Left=967, Top=555, Right=987, Bottom=595

RAW 316 person  Left=480, Top=547, Right=503, Bottom=617

RAW 316 person  Left=889, Top=548, Right=908, Bottom=606

RAW 317 person  Left=476, Top=551, Right=500, Bottom=615

RAW 317 person  Left=968, Top=553, Right=988, Bottom=596

RAW 317 person  Left=887, Top=551, Right=905, Bottom=605

RAW 317 person  Left=866, Top=544, Right=884, Bottom=612

RAW 318 person  Left=473, Top=553, Right=497, Bottom=615

RAW 318 person  Left=967, Top=550, Right=988, Bottom=597

RAW 318 person  Left=318, Top=615, Right=363, Bottom=746

RAW 318 person  Left=396, Top=643, Right=453, Bottom=763

RAW 318 person  Left=865, Top=546, Right=883, Bottom=611

RAW 318 person  Left=886, Top=548, Right=904, Bottom=605

RAW 319 person  Left=967, Top=549, Right=988, Bottom=596

RAW 319 person  Left=471, Top=550, Right=495, Bottom=621

RAW 319 person  Left=886, Top=548, Right=904, Bottom=606

RAW 319 person  Left=866, Top=541, Right=884, Bottom=612

RAW 320 person  Left=969, Top=549, Right=989, Bottom=598

RAW 321 person  Left=969, Top=551, Right=989, Bottom=598

RAW 322 person  Left=464, Top=554, Right=485, Bottom=615

RAW 322 person  Left=969, Top=548, Right=990, Bottom=596

RAW 322 person  Left=866, Top=543, Right=886, Bottom=613

RAW 322 person  Left=884, Top=551, Right=903, Bottom=606

RAW 322 person  Left=978, Top=551, Right=997, Bottom=597

RAW 323 person  Left=460, Top=555, Right=483, Bottom=615

RAW 323 person  Left=970, Top=547, Right=991, Bottom=595

RAW 323 person  Left=274, Top=619, Right=321, Bottom=748

RAW 324 person  Left=975, Top=545, Right=1000, Bottom=598

RAW 324 person  Left=455, Top=554, Right=478, Bottom=615

RAW 324 person  Left=268, Top=626, Right=314, Bottom=765

RAW 325 person  Left=975, Top=552, Right=1002, Bottom=599

RAW 326 person  Left=974, Top=547, Right=1003, Bottom=600

RAW 326 person  Left=247, Top=633, Right=294, Bottom=767

RAW 326 person  Left=887, Top=548, Right=904, Bottom=602

RAW 327 person  Left=975, Top=549, Right=1004, Bottom=600

RAW 327 person  Left=447, Top=557, Right=470, Bottom=612

RAW 327 person  Left=239, Top=625, Right=286, Bottom=771

RAW 327 person  Left=887, Top=547, Right=904, Bottom=601

RAW 328 person  Left=975, Top=551, Right=1004, Bottom=600

RAW 328 person  Left=887, Top=547, Right=904, Bottom=603

RAW 328 person  Left=225, Top=631, Right=270, Bottom=772

RAW 329 person  Left=977, Top=551, Right=1005, Bottom=601

RAW 329 person  Left=859, Top=541, Right=879, Bottom=614

RAW 329 person  Left=886, Top=546, Right=904, Bottom=605

RAW 330 person  Left=979, Top=548, Right=1004, Bottom=601

RAW 330 person  Left=220, Top=660, Right=311, Bottom=894

RAW 330 person  Left=886, Top=544, Right=905, Bottom=605

RAW 331 person  Left=981, Top=546, Right=1005, Bottom=604

RAW 331 person  Left=198, Top=645, Right=243, Bottom=774

RAW 332 person  Left=982, Top=547, Right=1005, Bottom=601

RAW 333 person  Left=983, Top=550, Right=1005, Bottom=602

RAW 334 person  Left=983, Top=549, Right=1006, Bottom=601

RAW 335 person  Left=985, Top=547, Right=1006, Bottom=601

RAW 336 person  Left=989, Top=552, Right=1008, Bottom=600

RAW 337 person  Left=990, Top=555, Right=1008, Bottom=597

RAW 338 person  Left=988, Top=549, Right=1006, Bottom=600

RAW 339 person  Left=992, Top=552, Right=1011, Bottom=601

RAW 339 person  Left=884, Top=553, Right=904, Bottom=604

